,time_str,latitude,longitude
0,2024-11-04T08:08:00.000-05:00,40.9602012,-73.7344894
1,2024-11-04T08:10:00.000-05:00,40.9634358,-73.7350343
2,2024-11-04T08:11:00.000-05:00,40.9677848,-73.7266006
3,2024-11-04T08:11:00.000-05:00,40.9750595,-73.7195968
4,2024-11-04T08:12:00.000-05:00,40.9744987,-73.7067794
5,2024-11-04T08:14:00.000-05:00,40.9848937,-73.6862716
6,2024-11-04T08:15:00.000-05:00,40.9881439,-73.6759948
7,2024-11-04T08:16:00.000-05:00,40.9911231,-73.6750946
8,2024-11-04T08:17:00.000-05:00,40.9964065,-73.6796035
9,2024-11-04T08:18:00.000-05:00,41.0101928,-73.699295
10,2024-11-04T08:19:00.000-05:00,41.0161437,-73.7241973
11,2024-11-04T08:20:00.000-05:00,41.0245132,-73.7299957
12,2024-11-04T08:21:00.000-05:00,41.02985,-73.7399978
13,2024-11-04T08:22:00.000-05:00,41.0319595,-73.7517242
14,2024-11-04T08:23:00.000-05:00,41.0458602,-73.7672576
15,2024-11-04T08:24:00.000-05:00,41.0430068,-73.7796401
16,2024-11-04T08:25:00.000-05:00,41.0464935,-73.8013305
17,2024-11-04T08:26:00.000-05:00,41.0583877,-73.8179855
18,2024-11-04T08:29:00.000-05:00,41.0612106,-73.8395843
31,2024-11-04T08:29:13.000-05:00,41.0618476,-73.8388977
32,2024-11-04T08:29:13.000-05:00,41.0618007,-73.8388957
19,2024-11-04T08:41:00.000-05:00,41.0625381,-73.8391571
20,2024-11-04T08:43:00.000-05:00,41.0582046,-73.8264236
21,2024-11-04T08:45:00.000-05:00,41.0566482,-73.8120346
22,2024-11-04T08:48:00.000-05:00,41.0478935,-73.8053359
24,2024-11-04T08:49:00.000-05:00,41.0456123,-73.79319
23,2024-11-04T08:49:00.000-05:00,41.0463562,-73.8013534
25,2024-11-04T08:50:00.000-05:00,41.0423431,-73.785057
26,2024-11-04T08:52:00.000-05:00,41.0443115,-73.7644119
27,2024-11-04T08:52:00.000-05:00,41.037693,-73.7567901
28,2024-11-04T08:53:00.000-05:00,41.0317993,-73.7571945
29,2024-11-04T08:54:00.000-05:00,41.03022,-73.7584381
30,2024-11-04T08:56:00.000-05:00,41.0218887,-73.7578201
33,2024-11-04T09:03:00.000-05:00,40.9865913,-73.7447891
34,2024-11-04T09:06:00.000-05:00,40.970829,-73.7426605
35,2024-11-04T09:06:00.000-05:00,40.9671788,-73.7404325
36,2024-11-04T09:07:00.000-05:00,40.9661674,-73.7359085
37,2024-11-04T09:08:00.000-05:00,40.9602737,-73.7368164
38,2024-11-04T09:09:00.000-05:00,40.9612327,-73.733884
40,2024-11-04T09:09:34.000-05:00,40.9602497,-73.7345027
39,2024-11-04T09:10:00.000-05:00,40.9601478,-73.7345275
41,2024-11-04T16:08:00.000-05:00,40.9602345,-73.7345146
42,2024-11-04T16:12:00.000-05:00,40.9652841,-73.7355173
44,2024-11-04T16:13:00.000-05:00,40.9717133,-73.7427956
43,2024-11-04T16:13:00.000-05:00,40.9671602,-73.739755
45,2024-11-04T16:18:00.000-05:00,41.0033577,-73.7498022
46,2024-11-04T16:22:00.000-05:00,41.0232144,-73.7579034
47,2024-11-04T16:23:00.000-05:00,41.0290085,-73.7582763
48,2024-11-04T16:24:00.000-05:00,41.0322245,-73.7559373
49,2024-11-04T16:25:00.000-05:00,41.0378634,-73.7560736
50,2024-11-04T16:28:00.000-05:00,41.0404427,-73.7613285
51,2024-11-04T16:30:00.000-05:00,41.0449722,-73.7649966
52,2024-11-04T16:31:00.000-05:00,41.0459655,-73.7687604
53,2024-11-04T16:33:00.000-05:00,41.0424316,-73.7838549
54,2024-11-04T16:35:00.000-05:00,41.045842,-73.7936098
55,2024-11-04T16:36:00.000-05:00,41.0461853,-73.7977742
56,2024-11-04T16:37:00.000-05:00,41.0489545,-73.8051164
57,2024-11-04T16:37:00.000-05:00,41.0545572,-73.8098213
58,2024-11-04T16:40:00.000-05:00,41.0623485,-73.8371418
59,2024-11-04T16:41:00.000-05:00,41.0611914,-73.8396192
60,2024-11-04T16:54:00.000-05:00,41.0624724,-73.8391677
61,2024-11-04T16:58:00.000-05:00,41.0555936,-73.8108212
62,2024-11-04T16:59:00.000-05:00,41.0473958,-73.8044587
65,2024-11-04T17:00:00.000-05:00,41.0428125,-73.7797636
66,2024-11-04T17:01:00.000-05:00,41.045785,-73.7687924
67,2024-11-04T17:02:00.000-05:00,41.0394996,-73.7604875
68,2024-11-04T17:03:00.000-05:00,41.0312623,-73.7581398
69,2024-11-04T17:05:00.000-05:00,41.0225254,-73.7581529
70,2024-11-04T17:10:00.000-05:00,40.9941204,-73.7465121
71,2024-11-04T17:16:00.000-05:00,40.9708583,-73.7426869
72,2024-11-04T17:16:00.000-05:00,40.9675171,-73.7408247
73,2024-11-04T17:17:00.000-05:00,40.965226,-73.7356144
74,2024-11-04T17:18:00.000-05:00,40.9605057,-73.7368357
75,2024-11-04T17:19:00.000-05:00,40.9609521,-73.7342866
76,2024-11-04T17:27:00.000-05:00,40.9602822,-73.7344706
77,2024-11-04T17:37:00.000-05:00,40.9602732,-73.734464
81,2024-11-04T18:22:00.000-05:00,40.9602716,-73.7344512
83,2024-11-04T18:58:00.000-05:00,40.9602679,-73.7344554
